,"Prey \ predator",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,62
1,"Baleen whales",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Toothed whales",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Seals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Seabird-surface feeders",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Seabird-inshore divers",,,,,,,0.000204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Seabird offshore divers",,,,,,,0.00816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Gulls,,,,,,,0.00169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Manx shearwater",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"European storm petrel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Cod,,,0.0200,,0.0373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Juvenile cod",,0.00200,0.0730,,0.000070,0.00455,,,,0.0200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Blue whiting",,,0.001000,,,,,,,0.0321,0.0166,,,0.0501,,,,,0.147,0.0110,,,,,,,0.00100,,,,,0.00900,,,,,,0.00400,,,,,0.00600,,,,,,,,,,,,,,,,,,
13,"Juvenile blue whiting",,,,,0.000070,0.00455,,,,0.0230,,,,0.161,0.0523,,,0.160,,0.0639,,,,0.0140,,,0.00401,,,,,0.00900,,,,,,0.00400,0.135,,,,0.00600,,,,,,,,,,,,,,,,,,
14,Hake,,,0.0340,,,,,,,,,,,,,,,0.0557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Juvenile hake",,,,,0.000070,0.00455,,,0.0343,0.0890,,,,0.0420,0.00400,,,0.0100,,0.000849,,0.0160,,0.0250,,,,,,,,0.00200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Plaice,,,0.150,,0.0343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"Juvenile plaice",,,,,,,,,,0.0441,,,,,,0.00100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Megrim,,,,,,,,,,,,,,,,,,,,,,,0.0110,,,,,,,,,,,0.00200,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Juvenile megrim",,,,,,,,,,0.00801,0.00783,,,0.0220,0.000700,,,0.00111,,,,0.0480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Whiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"Juvenile whiting",,0.316,0.110,,0.000070,0.00455,,,,0.0541,0.00196,,,0.0440,,,,,,0.0579,,0.0589,0.0561,,,,,,,,,0.00900,,0.0531,,,,,,,,,0.0360,,,,,,,,,,,,,,,,,,
22,Monkfish,,0.00200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"Juvenile monkfish",,0.0500,,,,,,,,0.0230,,,,,,,,,,,,,,,,,,,,,,0.00100,,,,0.0240,,,,,,,,,,,,,,,,,,,,,,,,,
24,Haddock,,,0.0720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"Juvenile haddock",,,0.0120,,,0.00455,,,,0.0110,,,,,,,,0.000635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Sole,,,0.00600,,,,,,,0.00560,,,,,,,,,,0.000320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Mackerel,0.0180,0.240,,0.260,,,,,,0.0534,0.0342,,,0.190,0.274,,,0.0334,0.0136,0.0629,,0.220,,0.197,0.00699,,0.00901,,,0.395,0.203,0.344,,0.0100,,,,,0.159,,,,0.218,,,,,,,,,,,,,,,,,,
28,"Horse mackerel",,0.290,0.0220,,,,,,,0.0681,0.00881,,,0.150,0.263,,,0.182,0.112,0.122,,0.153,,0.185,,,0.0611,,,,,0.0560,,0.0180,,,,,,,,,0.205,,,,,,0.112,,,,,,,,,,,,
29,"Red mullet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0100,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"Sea bass",,,,,,,,,,0.0200,,,,,,,,,,,,,,,,,,,,0.0450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"Large sharks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
