"RowNumber","Prey...predator","Baleen.whales","Toothed.whales","Seals","Seabird.surface.feeders","Seabird.inshore.divers","Seabird.offshore.divers","Gulls","Manx.shearwater","European.storm.petrel","Cod","Juvenile.cod","Blue.whiting","Juvenile.blue.whiting","Hake","Juvenile.hake","Plaice","Juvenile.plaice","Megrim","Juvenile.megrim","Whiting","Juvenile.whiting","Monkfish","Juvenile.monkfish","Haddock","Juvenile.haddock","Sole","Mackerel","Horse.mackerel","Red.mullet","Sea.bass","Large.sharks","Small.sharks","Pilchard","Sprat","European.Anchovy","Herring","Rays.and.Skates","Turbot.and.Brill","Small.and.medium.flatfish","Trisopterus","Gurnards","Pollack.and.Saithe","Small.benthic.fishes","Small.pelagic.spp.","Garfish","Demersal.predators","Small.crabs.and.other","Large.crabs.and.lobsters","Small.benthic.crustacea","Bivalves","Gastropods","Cuttlefish","Squid","Sessile.invertebrate","Echinoderms","Polychaetes","Nematoda","Large.zooplankton","Small.zooplankton","Carnivorous.macroplankton","Euphausiids","Microflagellate","Pelagic.bacteria","Benthic.bacteria"
NA,NA,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
1,"Baleen whales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Toothed whales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Seals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Seabird-surface feeders",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"Seabird-inshore divers",0,0,0,0,0,0,0.000203944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Seabird offshore divers",0,0,0,0,0,0,0.00805996250529526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Gulls",0,0,0,0,0,0,0.00167244194814588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Manx shearwater",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"European storm petrel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
